"TIME","REP_AIRP","REP_AIRP_LABEL","UNIT","UNIT_LABEL","TRA_MEAS","TRA_MEAS_LABEL","AIRLINE","AIRLINE_LABEL","Value","Flag and Footnotes"
"2017M01","FR_LFBT","TARBES LOURDES PYRENEES airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","11 648",""
"2017M01","FR_LFBU","ANGOULEME-BRIE-CHAMPNIERS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFBV","BRIVE/LA ROCHE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFBX","PERIGEUX-BASSILLAC airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFBZ","BIARRITZ-PAYS BASQUE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","64 176",""
"2017M01","FR_LFCK","CASTRES MAZAMET airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","3 651",""
"2017M01","FR_LFCR","RODEZ-AVEYRON airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","3 536",""
"2017M01","FR_LFDN","ROCHEFORT-CHARENTE-MARITIME airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFEC","OUESSANT airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFGJ","DOLE-TAVAUX airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","7 818",""
"2017M01","FR_LFHP","LE PUY-LOUDES airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFJL","METZ NANCY-LORRAINE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","12 356",""
"2017M01","FR_LFJR","ANGERS MARCE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFKB","BASTIA-PORETTA airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","55 003",""
"2017M01","FR_LFKC","CALVI-SAINTE-CATHERINE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","7 560",""
"2017M01","FR_LFKF","FIGARI-SUD-CORSE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","11 277",""
"2017M01","FR_LFKJ","AJACCIO-NAPOLEON-BONAPARTE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","55 000",""
"2017M01","FR_LFLB","CHAMBERY-AIX-LES-BAINS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","46 132",""
"2017M01","FR_LFLC","CLERMONT-FERRAND-AUVERGNE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","25 984",""
"2017M01","FR_LFLJ","COURCHEVEL airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFLL","LYON SAINT-EXUPERY airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","679 666",""
"2017M01","FR_LFLP","ANNECY-MEYTHET airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFLS","GRENOBLE-ISERE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","81 019",""
"2017M01","FR_LFLW","AURILLAC airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","2 642",""
"2017M01","FR_LFLX","CHATEAUROUX-DEOLS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","92",""
"2017M01","FR_LFLY","LYON-BRON airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFMD","CANNES-MANDELIEU airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFMH","SAINT-ETIENNE-LOIRE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","11 206",""
"2017M01","FR_LFMK","CARCASSONNE-SALVAZA airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","17 682",""
"2017M01","FR_LFML","MARSEILLE-PROVENCE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","570 518",""
"2017M01","FR_LFMN","NICE-COTE D AZUR airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","648 729",""
"2017M01","FR_LFMP","PERPIGNAN RIVESALTES airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","19 492",""
"2017M01","FR_LFMQ","LE CASTELLET airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFMT","MONTPELLIER MEDITERRANEE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","108 797",""
"2017M01","FR_LFMU","BEZIERS-VIAS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","4 445",""
"2017M01","FR_LFMV","AVIGNON-CAUMONT airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFOB","BEAUVAIS-TILLE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","272 334",""
"2017M01","FR_LFOH","LE HAVRE-OCTEVILLE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFOK","CHALONS-VATRY airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","7 929",""
"2017M01","FR_LFOP","ROUEN-VALLEE DE SEINE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFOT","TOURS VAL DE LOIRE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","10 385",""
"2017M01","FR_LFPB","PARIS-LE BOURGET airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","7 833",""
"2017M01","FR_LFPG","PARIS-CHARLES DE GAULLE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","4 963 068",""
"2017M01","FR_LFPO","PARIS-ORLY airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","2 295 909",""
"2017M01","FR_LFQQ","LILLE-LESQUIN airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","92 807",""
"2017M01","FR_LFRB","BREST-BRETAGNE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","67 269",""
"2017M01","FR_LFRC","CHERBOURG-MAUPERTUS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFRD","DINARD PLEURTUIT SAINT MALO airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","3 235",""
"2017M01","FR_LFRG","DEAUVILLE-NORMANDIE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","2 093",""
"2017M01","FR_LFRH","LORIENT-LANN-BIHOUE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","7 565",""
"2017M01","FR_LFRK","CAEN-CARPIQUET airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","7 556",""
"2017M01","FR_LFRM","LE MANS-ARNAGE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFRN","RENNES SAINT JACQUES airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","43 276",""
"2017M01","FR_LFRO","LANNION airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","2 310",""
"2017M01","FR_LFRQ","QUIMPER-PLUGUFFAN airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","5 646",""
"2017M01","FR_LFRS","NANTES ATLANTIQUE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","287 102",""
"2017M01","FR_LFRT","SAINT BRIEUC ARMOR airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFRZ","SAINT-NAZAIRE-MONTOIR airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","1 283",""
"2017M01","FR_LFSB","BALE-MULHOUSE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","43 013",""
"2017M01","FR_LFSD","DIJON-LONGVIC airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFSG","EPINAL-MIRECOURT airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFSL","BRIVE SOUILLAC airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","3 672",""
"2017M01","FR_LFSR","REIMS/CHAMPAGNE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFST","STRASBOURG-ENTZHEIM airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","64 786",""
"2017M01","FR_LFTG","CANNES/PALM BEACH airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LFTH","HYERES-LE PALYVESTRE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","27 197",""
"2017M01","FR_LFTW","NIMES-GARONS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","11 437",""
"2017M01","FR_LFTZ","LA MOLE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_LF96","STRASBOURG airport System","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_SOCA","CAYENNE-FELIX-EBOUE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","38 151",""
"2017M01","FR_SOOA","MARIPASOULA airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","2 369",""
"2017M01","FR_TFFF","AIME CESAIRE/MARTINIQUE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","182 462",""
"2017M01","FR_TFFG","SAINT MARTIN, GRAND CASE, GUADELOUPE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","15 992",""
"2017M01","FR_TFFJ","SAINT BARTHELEMY/FRENCH ANTILLES airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_TFFM","MARIE GALANTE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M01","FR_TFFR","POINTE-A-PITRE/LE RAIZET/GUADELOUPE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","216 493",""
"2017M01","FR_TFFS","LES SAINTES/TERRE DE HAUT/FRENCH ANTILLES airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_FMCZ","DZAOUDZI airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","20 204",""
"2017M02","FR_FMEE","LA REUNION-ROLAND GARROS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","120 065",""
"2017M02","FR_FMEP","SAINT PIERRE PIERREFONDS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","3 930",""
"2017M02","FR_LFAQ","ALBERT-BRAY airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","30",""
"2017M02","FR_LFAT","LE TOUQUET-COTE D'OPALE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFBA","AGEN-LA GARENNE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","3 590",""
"2017M02","FR_LFBD","BORDEAUX-MERIGNAC airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","368 460",""
"2017M02","FR_LFBE","BERGERAC-ROUMANIERE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","8 937",""
"2017M02","FR_LFBH","LA ROCHELLE-ILE DE RE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","4 204",""
"2017M02","FR_LFBI","POITIERS-BIARD airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","4 496",""
"2017M02","FR_LFBL","LIMOGES-BELLEGARDE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","13 835",""
"2017M02","FR_LFBO","TOULOUSE/BLAGNAC airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","650 985",""
"2017M02","FR_LFBP","PAU-PYRENEES airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","46 349",""
"2017M02","FR_LFBT","TARBES LOURDES PYRENEES airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","17 842",""
"2017M02","FR_LFBU","ANGOULEME-BRIE-CHAMPNIERS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFBV","BRIVE/LA ROCHE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFBX","PERIGEUX-BASSILLAC airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFBZ","BIARRITZ-PAYS BASQUE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","64 601",""
"2017M02","FR_LFCK","CASTRES MAZAMET airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","3 616",""
"2017M02","FR_LFCR","RODEZ-AVEYRON airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","3 587",""
"2017M02","FR_LFDN","ROCHEFORT-CHARENTE-MARITIME airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFEC","OUESSANT airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFGJ","DOLE-TAVAUX airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","6 982",""
"2017M02","FR_LFHP","LE PUY-LOUDES airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFJL","METZ NANCY-LORRAINE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","12 042",""
"2017M02","FR_LFJR","ANGERS MARCE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFKB","BASTIA-PORETTA airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","51 998",""
"2017M02","FR_LFKC","CALVI-SAINTE-CATHERINE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","7 149",""
"2017M02","FR_LFKF","FIGARI-SUD-CORSE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","10 914",""
"2017M02","FR_LFKJ","AJACCIO-NAPOLEON-BONAPARTE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","51 159",""
"2017M02","FR_LFLB","CHAMBERY-AIX-LES-BAINS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","46 006",""
"2017M02","FR_LFLC","CLERMONT-FERRAND-AUVERGNE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","25 444",""
"2017M02","FR_LFLJ","COURCHEVEL airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFLL","LYON SAINT-EXUPERY airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","679 423",""
"2017M02","FR_LFLP","ANNECY-MEYTHET airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFLS","GRENOBLE-ISERE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","81 642",""
"2017M02","FR_LFLW","AURILLAC airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","2 725",""
"2017M02","FR_LFLX","CHATEAUROUX-DEOLS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","29",""
"2017M02","FR_LFLY","LYON-BRON airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFMD","CANNES-MANDELIEU airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFMH","SAINT-ETIENNE-LOIRE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","12 090",""
"2017M02","FR_LFMK","CARCASSONNE-SALVAZA airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","18 427",""
"2017M02","FR_LFML","MARSEILLE-PROVENCE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","561 316",""
"2017M02","FR_LFMN","NICE-COTE D AZUR airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","694 123",""
"2017M02","FR_LFMP","PERPIGNAN RIVESALTES airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","18 882",""
"2017M02","FR_LFMQ","LE CASTELLET airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFMT","MONTPELLIER MEDITERRANEE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","110 980",""
"2017M02","FR_LFMU","BEZIERS-VIAS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","4 612",""
"2017M02","FR_LFMV","AVIGNON-CAUMONT airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFOB","BEAUVAIS-TILLE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","257 300",""
"2017M02","FR_LFOH","LE HAVRE-OCTEVILLE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFOK","CHALONS-VATRY airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","7 042",""
"2017M02","FR_LFOP","ROUEN-VALLEE DE SEINE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFOT","TOURS VAL DE LOIRE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","10 173",""
"2017M02","FR_LFPB","PARIS-LE BOURGET airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","7 284",""
"2017M02","FR_LFPG","PARIS-CHARLES DE GAULLE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","4 618 881",""
"2017M02","FR_LFPO","PARIS-ORLY airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","2 250 161",""
"2017M02","FR_LFQQ","LILLE-LESQUIN airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","99 405",""
"2017M02","FR_LFRB","BREST-BRETAGNE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","68 010",""
"2017M02","FR_LFRC","CHERBOURG-MAUPERTUS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFRD","DINARD PLEURTUIT SAINT MALO airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","4 061",""
"2017M02","FR_LFRG","DEAUVILLE-NORMANDIE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","2 187",""
"2017M02","FR_LFRH","LORIENT-LANN-BIHOUE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","7 677",""
"2017M02","FR_LFRK","CAEN-CARPIQUET airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","8 320",""
"2017M02","FR_LFRM","LE MANS-ARNAGE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFRN","RENNES SAINT JACQUES airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","44 956",""
"2017M02","FR_LFRO","LANNION airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","2 205",""
"2017M02","FR_LFRQ","QUIMPER-PLUGUFFAN airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","6 409",""
"2017M02","FR_LFRS","NANTES ATLANTIQUE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","295 060",""
"2017M02","FR_LFRT","SAINT BRIEUC ARMOR airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFRZ","SAINT-NAZAIRE-MONTOIR airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","1 323",""
"2017M02","FR_LFSB","BALE-MULHOUSE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","34 489",""
"2017M02","FR_LFSD","DIJON-LONGVIC airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFSG","EPINAL-MIRECOURT airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFSL","BRIVE SOUILLAC airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","3 163",""
"2017M02","FR_LFSR","REIMS/CHAMPAGNE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFST","STRASBOURG-ENTZHEIM airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","62 459",""
"2017M02","FR_LFTG","CANNES/PALM BEACH airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LFTH","HYERES-LE PALYVESTRE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","25 553",""
"2017M02","FR_LFTW","NIMES-GARONS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","10 844",""
"2017M02","FR_LFTZ","LA MOLE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_LF96","STRASBOURG airport System","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_SOCA","CAYENNE-FELIX-EBOUE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","36 909",""
"2017M02","FR_SOOA","MARIPASOULA airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","2 216",""
"2017M02","FR_TFFF","AIME CESAIRE/MARTINIQUE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","181 629",""
"2017M02","FR_TFFG","SAINT MARTIN, GRAND CASE, GUADELOUPE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","15 391",""
"2017M02","FR_TFFJ","SAINT BARTHELEMY/FRENCH ANTILLES airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_TFFM","MARIE GALANTE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M02","FR_TFFR","POINTE-A-PITRE/LE RAIZET/GUADELOUPE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","218 644",""
"2017M02","FR_TFFS","LES SAINTES/TERRE DE HAUT/FRENCH ANTILLES airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M03","FR_FMCZ","DZAOUDZI airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","27 185",""
"2017M03","FR_FMEE","LA REUNION-ROLAND GARROS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","160 908",""
"2017M03","FR_FMEP","SAINT PIERRE PIERREFONDS airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","7 799",""
"2017M03","FR_LFAQ","ALBERT-BRAY airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","15",""
"2017M03","FR_LFAT","LE TOUQUET-COTE D'OPALE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines",":",""
"2017M03","FR_LFBA","AGEN-LA GARENNE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","4 438",""
"2017M03","FR_LFBD","BORDEAUX-MERIGNAC airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","431 089",""
"2017M03","FR_LFBE","BERGERAC-ROUMANIERE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","11 880",""
"2017M03","FR_LFBH","LA ROCHELLE-ILE DE RE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","6 616",""
"2017M03","FR_LFBI","POITIERS-BIARD airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","5 247",""
"2017M03","FR_LFBL","LIMOGES-BELLEGARDE airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","16 445",""
"2017M03","FR_LFBO","TOULOUSE/BLAGNAC airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","719 181",""
"2017M03","FR_LFBP","PAU-PYRENEES airport","PAS","Passenger","PAS_CRD","Passengers carried","TOTAL","All airlines","51 816",""
