billing_date,item,amount
2022-01-30,REVENUE FOR D_000,288
2022-01-30,REVENUE FOR D_001,288
2022-01-30,REVENUE FOR D_002,288
2022-01-30,REVENUE FOR D_003,288
2022-01-30,REVENUE FOR D_004,288
2022-01-30,REVENUE FOR D_005,288
2022-01-30,REVENUE FOR D_006,288
2022-01-30,REVENUE FOR D_007,288
2022-01-30,REVENUE FOR D_008,288
2022-01-30,REVENUE FOR D_009,61
2022-01-30,REVENUE FOR D_010,288
2022-01-30,REVENUE FOR D_011,288
2022-01-30,REVENUE FOR D_012,288
2022-01-30,REVENUE FOR D_013,288
2022-01-30,REVENUE FOR D_014,288
2022-01-30,REVENUE FOR D_015,288
2022-01-30,TECH_CALLS,-200
2022-01-30,TECH_INSPECT,-10
2022-01-30,TECH_REPAIR,0
2022-02-06,REVENUE FOR D_000,288
2022-02-06,REVENUE FOR D_001,288
2022-02-06,REVENUE FOR D_002,288
2022-02-06,REVENUE FOR D_003,288
2022-02-06,REVENUE FOR D_004,288
2022-02-06,REVENUE FOR D_005,288
2022-02-06,REVENUE FOR D_006,288
2022-02-06,REVENUE FOR D_007,288
2022-02-06,REVENUE FOR D_008,288
2022-02-06,REVENUE FOR D_009,0
2022-02-06,REVENUE FOR D_010,288
2022-02-06,REVENUE FOR D_011,288
2022-02-06,REVENUE FOR D_012,217
2022-02-06,REVENUE FOR D_013,288
2022-02-06,REVENUE FOR D_014,288
2022-02-06,REVENUE FOR D_015,288
2022-02-06,TECH_CALLS,-200
2022-02-06,TECH_INSPECT,-10
2022-02-06,TECH_REPAIR,0
2022-02-13,REVENUE FOR D_000,288
2022-02-13,REVENUE FOR D_001,288
2022-02-13,REVENUE FOR D_002,288
2022-02-13,REVENUE FOR D_003,288
2022-02-13,REVENUE FOR D_004,288
2022-02-13,REVENUE FOR D_005,288
2022-02-13,REVENUE FOR D_006,288
2022-02-13,REVENUE FOR D_007,288
2022-02-13,REVENUE FOR D_008,108
2022-02-13,REVENUE FOR D_009,0
2022-02-13,REVENUE FOR D_010,288
2022-02-13,REVENUE FOR D_011,288
2022-02-13,REVENUE FOR D_012,0
2022-02-13,REVENUE FOR D_013,288
2022-02-13,REVENUE FOR D_014,288
2022-02-13,REVENUE FOR D_015,288
2022-02-13,TECH_CALLS,-200
2022-02-13,TECH_INSPECT,-10
2022-02-13,TECH_REPAIR,0
2022-02-20,REVENUE FOR D_000,288
2022-02-20,REVENUE FOR D_001,288
2022-02-20,REVENUE FOR D_002,288
2022-02-20,REVENUE FOR D_003,288
2022-02-20,REVENUE FOR D_004,288
2022-02-20,REVENUE FOR D_005,288
2022-02-20,REVENUE FOR D_006,288
2022-02-20,REVENUE FOR D_007,288
2022-02-20,REVENUE FOR D_008,0
2022-02-20,REVENUE FOR D_009,0
2022-02-20,REVENUE FOR D_010,288
2022-02-20,REVENUE FOR D_011,288
2022-02-20,REVENUE FOR D_012,0
2022-02-20,REVENUE FOR D_013,288
2022-02-20,REVENUE FOR D_014,288
2022-02-20,REVENUE FOR D_015,288
2022-02-20,TECH_CALLS,0
2022-02-20,TECH_INSPECT,0
2022-02-20,TECH_REPAIR,0
2022-02-27,REVENUE FOR D_000,127
2022-02-27,REVENUE FOR D_001,288
2022-02-27,REVENUE FOR D_002,288
2022-02-27,REVENUE FOR D_003,288
2022-02-27,REVENUE FOR D_004,288
2022-02-27,REVENUE FOR D_005,288
2022-02-27,REVENUE FOR D_006,288
2022-02-27,REVENUE FOR D_007,288
2022-02-27,REVENUE FOR D_008,0
2022-02-27,REVENUE FOR D_009,0
2022-02-27,REVENUE FOR D_010,288
2022-02-27,REVENUE FOR D_011,288
2022-02-27,REVENUE FOR D_012,0
2022-02-27,REVENUE FOR D_013,288
2022-02-27,REVENUE FOR D_014,288
2022-02-27,REVENUE FOR D_015,288
2022-02-27,TECH_CALLS,-200
2022-02-27,TECH_INSPECT,-10
2022-02-27,TECH_REPAIR,0
2022-03-06,REVENUE FOR D_000,0
2022-03-06,REVENUE FOR D_001,288
2022-03-06,REVENUE FOR D_002,288
2022-03-06,REVENUE FOR D_003,288
2022-03-06,REVENUE FOR D_004,204
2022-03-06,REVENUE FOR D_005,288
2022-03-06,REVENUE FOR D_006,288
2022-03-06,REVENUE FOR D_007,288
2022-03-06,REVENUE FOR D_008,0
2022-03-06,REVENUE FOR D_009,0
2022-03-06,REVENUE FOR D_010,288
2022-03-06,REVENUE FOR D_011,288
2022-03-06,REVENUE FOR D_012,0
2022-03-06,REVENUE FOR D_013,288
2022-03-06,REVENUE FOR D_014,288
2022-03-06,REVENUE FOR D_015,288
2022-03-06,TECH_CALLS,-200
2022-03-06,TECH_INSPECT,0
2022-03-06,TECH_REPAIR,-100
2022-03-13,REVENUE FOR D_000,0
2022-03-13,REVENUE FOR D_001,288
2022-03-13,REVENUE FOR D_002,288
2022-03-13,REVENUE FOR D_003,224
2022-03-13,REVENUE FOR D_004,288
2022-03-13,REVENUE FOR D_005,288
2022-03-13,REVENUE FOR D_006,237
2022-03-13,REVENUE FOR D_007,288
2022-03-13,REVENUE FOR D_008,0
2022-03-13,REVENUE FOR D_009,0
2022-03-13,REVENUE FOR D_010,288
2022-03-13,REVENUE FOR D_011,288
2022-03-13,REVENUE FOR D_012,0
2022-03-13,REVENUE FOR D_013,288
2022-03-13,REVENUE FOR D_014,288
2022-03-13,REVENUE FOR D_015,288
2022-03-13,TECH_CALLS,-400
2022-03-13,TECH_INSPECT,0
2022-03-13,TECH_REPAIR,-200
2022-03-20,REVENUE FOR D_000,0
2022-03-20,REVENUE FOR D_001,288
2022-03-20,REVENUE FOR D_002,288
2022-03-20,REVENUE FOR D_003,288
2022-03-20,REVENUE FOR D_004,288
2022-03-20,REVENUE FOR D_005,288
2022-03-20,REVENUE FOR D_006,288
2022-03-20,REVENUE FOR D_007,288
2022-03-20,REVENUE FOR D_008,0
2022-03-20,REVENUE FOR D_009,0
2022-03-20,REVENUE FOR D_010,288
2022-03-20,REVENUE FOR D_011,288
2022-03-20,REVENUE FOR D_012,0
2022-03-20,REVENUE FOR D_013,288
2022-03-20,REVENUE FOR D_014,178
2022-03-20,REVENUE FOR D_015,288
2022-03-20,TECH_CALLS,-200
2022-03-20,TECH_INSPECT,-10
2022-03-20,TECH_REPAIR,0
2022-03-27,REVENUE FOR D_000,0
2022-03-27,REVENUE FOR D_001,288
2022-03-27,REVENUE FOR D_002,288
2022-03-27,REVENUE FOR D_003,288
2022-03-27,REVENUE FOR D_004,288
2022-03-27,REVENUE FOR D_005,288
2022-03-27,REVENUE FOR D_006,288
2022-03-27,REVENUE FOR D_007,288
2022-03-27,REVENUE FOR D_008,0
2022-03-27,REVENUE FOR D_009,0
2022-03-27,REVENUE FOR D_010,127
2022-03-27,REVENUE FOR D_011,288
2022-03-27,REVENUE FOR D_012,0
2022-03-27,REVENUE FOR D_013,288
2022-03-27,REVENUE FOR D_014,0
2022-03-27,REVENUE FOR D_015,288
2022-03-27,TECH_CALLS,-200
2022-03-27,TECH_INSPECT,-10
2022-03-27,TECH_REPAIR,0
2022-04-03,REVENUE FOR D_000,0
2022-04-03,REVENUE FOR D_001,288
2022-04-03,REVENUE FOR D_002,288
2022-04-03,REVENUE FOR D_003,288
2022-04-03,REVENUE FOR D_004,288
2022-04-03,REVENUE FOR D_005,288
2022-04-03,REVENUE FOR D_006,288
2022-04-03,REVENUE FOR D_007,288
2022-04-03,REVENUE FOR D_008,0
2022-04-03,REVENUE FOR D_009,0
2022-04-03,REVENUE FOR D_010,0
2022-04-03,REVENUE FOR D_011,288
2022-04-03,REVENUE FOR D_012,0
2022-04-03,REVENUE FOR D_013,288
2022-04-03,REVENUE FOR D_014,0
2022-04-03,REVENUE FOR D_015,288
2022-04-03,TECH_CALLS,0
2022-04-03,TECH_INSPECT,0
2022-04-03,TECH_REPAIR,0
2022-04-10,REVENUE FOR D_000,0
2022-04-10,REVENUE FOR D_001,288
2022-04-10,REVENUE FOR D_002,288
2022-04-10,REVENUE FOR D_003,288
2022-04-10,REVENUE FOR D_004,288
2022-04-10,REVENUE FOR D_005,288
2022-04-10,REVENUE FOR D_006,288
2022-04-10,REVENUE FOR D_007,288
2022-04-10,REVENUE FOR D_008,0
2022-04-10,REVENUE FOR D_009,0
2022-04-10,REVENUE FOR D_010,0
2022-04-10,REVENUE FOR D_011,288
2022-04-10,REVENUE FOR D_012,0
2022-04-10,REVENUE FOR D_013,288
2022-04-10,REVENUE FOR D_014,0
2022-04-10,REVENUE FOR D_015,288
2022-04-10,TECH_CALLS,0
2022-04-10,TECH_INSPECT,0
2022-04-10,TECH_REPAIR,0
2022-04-17,REVENUE FOR D_000,0
2022-04-17,REVENUE FOR D_001,288
2022-04-17,REVENUE FOR D_002,288
2022-04-17,REVENUE FOR D_003,288
2022-04-17,REVENUE FOR D_004,288
2022-04-17,REVENUE FOR D_005,288
2022-04-17,REVENUE FOR D_006,205
2022-04-17,REVENUE FOR D_007,288
2022-04-17,REVENUE FOR D_008,0
2022-04-17,REVENUE FOR D_009,0
2022-04-17,REVENUE FOR D_010,0
2022-04-17,REVENUE FOR D_011,288
2022-04-17,REVENUE FOR D_012,0
2022-04-17,REVENUE FOR D_013,288
2022-04-17,REVENUE FOR D_014,0
2022-04-17,REVENUE FOR D_015,288
2022-04-17,TECH_CALLS,-200
2022-04-17,TECH_INSPECT,0
2022-04-17,TECH_REPAIR,-100
2022-04-24,REVENUE FOR D_000,0
2022-04-24,REVENUE FOR D_001,288
2022-04-24,REVENUE FOR D_002,288
2022-04-24,REVENUE FOR D_003,288
2022-04-24,REVENUE FOR D_004,223
2022-04-24,REVENUE FOR D_005,288
2022-04-24,REVENUE FOR D_006,288
2022-04-24,REVENUE FOR D_007,288
2022-04-24,REVENUE FOR D_008,0
2022-04-24,REVENUE FOR D_009,0
2022-04-24,REVENUE FOR D_010,0
2022-04-24,REVENUE FOR D_011,237
2022-04-24,REVENUE FOR D_012,0
2022-04-24,REVENUE FOR D_013,288
2022-04-24,REVENUE FOR D_014,0
2022-04-24,REVENUE FOR D_015,288
2022-04-24,TECH_CALLS,-400
2022-04-24,TECH_INSPECT,-10
2022-04-24,TECH_REPAIR,-100
2022-05-01,REVENUE FOR D_000,0
2022-05-01,REVENUE FOR D_001,288
2022-05-01,REVENUE FOR D_002,288
2022-05-01,REVENUE FOR D_003,288
2022-05-01,REVENUE FOR D_004,0
2022-05-01,REVENUE FOR D_005,288
2022-05-01,REVENUE FOR D_006,288
2022-05-01,REVENUE FOR D_007,288
2022-05-01,REVENUE FOR D_008,0
2022-05-01,REVENUE FOR D_009,0
2022-05-01,REVENUE FOR D_010,0
2022-05-01,REVENUE FOR D_011,288
2022-05-01,REVENUE FOR D_012,0
2022-05-01,REVENUE FOR D_013,216
2022-05-01,REVENUE FOR D_014,0
2022-05-01,REVENUE FOR D_015,288
2022-05-01,TECH_CALLS,-200
2022-05-01,TECH_INSPECT,0
2022-05-01,TECH_REPAIR,-100
2022-05-08,REVENUE FOR D_000,0
2022-05-08,REVENUE FOR D_001,288
2022-05-08,REVENUE FOR D_002,288
2022-05-08,REVENUE FOR D_003,288
2022-05-08,REVENUE FOR D_004,0
2022-05-08,REVENUE FOR D_005,288
2022-05-08,REVENUE FOR D_006,288
2022-05-08,REVENUE FOR D_007,288
2022-05-08,REVENUE FOR D_008,0
2022-05-08,REVENUE FOR D_009,0
2022-05-08,REVENUE FOR D_010,0
2022-05-08,REVENUE FOR D_011,288
2022-05-08,REVENUE FOR D_012,0
2022-05-08,REVENUE FOR D_013,288
2022-05-08,REVENUE FOR D_014,0
2022-05-08,REVENUE FOR D_015,288
2022-05-08,TECH_CALLS,0
2022-05-08,TECH_INSPECT,0
2022-05-08,TECH_REPAIR,0
2022-05-15,REVENUE FOR D_000,0
2022-05-15,REVENUE FOR D_001,288
2022-05-15,REVENUE FOR D_002,33
2022-05-15,REVENUE FOR D_003,288
2022-05-15,REVENUE FOR D_004,0
2022-05-15,REVENUE FOR D_005,288
2022-05-15,REVENUE FOR D_006,288
2022-05-15,REVENUE FOR D_007,288
2022-05-15,REVENUE FOR D_008,0
2022-05-15,REVENUE FOR D_009,0
2022-05-15,REVENUE FOR D_010,0
2022-05-15,REVENUE FOR D_011,288
2022-05-15,REVENUE FOR D_012,0
2022-05-15,REVENUE FOR D_013,288
2022-05-15,REVENUE FOR D_014,0
2022-05-15,REVENUE FOR D_015,288
2022-05-15,TECH_CALLS,-200
2022-05-15,TECH_INSPECT,-10
2022-05-15,TECH_REPAIR,0
2022-05-22,REVENUE FOR D_000,0
2022-05-22,REVENUE FOR D_001,288
2022-05-22,REVENUE FOR D_002,0
2022-05-22,REVENUE FOR D_003,288
2022-05-22,REVENUE FOR D_004,0
2022-05-22,REVENUE FOR D_005,288
2022-05-22,REVENUE FOR D_006,288
2022-05-22,REVENUE FOR D_007,288
2022-05-22,REVENUE FOR D_008,0
2022-05-22,REVENUE FOR D_009,0
2022-05-22,REVENUE FOR D_010,0
2022-05-22,REVENUE FOR D_011,288
2022-05-22,REVENUE FOR D_012,0
2022-05-22,REVENUE FOR D_013,288
2022-05-22,REVENUE FOR D_014,0
2022-05-22,REVENUE FOR D_015,288
2022-05-22,TECH_CALLS,0
2022-05-22,TECH_INSPECT,0
2022-05-22,TECH_REPAIR,0
