billing_date,item,amount
2022-01-23,TECH_CALLS,0
2022-01-23,TECH_INSPECT,0
2022-01-23,TECH_REPAIR,0
2022-01-30,REVENUE FOR A_000,288
2022-01-30,REVENUE FOR A_001,288
2022-01-30,REVENUE FOR A_002,288
2022-01-30,REVENUE FOR A_003,288
2022-01-30,REVENUE FOR A_004,0
2022-01-30,REVENUE FOR A_005,0
2022-01-30,REVENUE FOR A_006,288
2022-01-30,REVENUE FOR A_007,288
2022-01-30,REVENUE FOR A_008,288
2022-01-30,REVENUE FOR A_009,288
2022-01-30,REVENUE FOR A_010,288
2022-01-30,REVENUE FOR A_011,288
2022-01-30,REVENUE FOR A_012,288
2022-01-30,REVENUE FOR A_013,288
2022-01-30,REVENUE FOR A_014,288
2022-01-30,REVENUE FOR A_015,288
2022-01-30,TECH_CALLS,0
2022-01-30,TECH_INSPECT,0
2022-01-30,TECH_REPAIR,0
2022-02-06,REVENUE FOR A_000,288
2022-02-06,REVENUE FOR A_001,288
2022-02-06,REVENUE FOR A_002,288
2022-02-06,REVENUE FOR A_003,288
2022-02-06,REVENUE FOR A_004,0
2022-02-06,REVENUE FOR A_005,0
2022-02-06,REVENUE FOR A_006,288
2022-02-06,REVENUE FOR A_007,288
2022-02-06,REVENUE FOR A_008,288
2022-02-06,REVENUE FOR A_009,288
2022-02-06,REVENUE FOR A_010,288
2022-02-06,REVENUE FOR A_011,288
2022-02-06,REVENUE FOR A_012,288
2022-02-06,REVENUE FOR A_013,288
2022-02-06,REVENUE FOR A_014,288
2022-02-06,REVENUE FOR A_015,288
2022-02-06,TECH_CALLS,0
2022-02-06,TECH_INSPECT,0
2022-02-06,TECH_REPAIR,0
2022-02-13,REVENUE FOR A_000,4
2022-02-13,REVENUE FOR A_001,288
2022-02-13,REVENUE FOR A_002,288
2022-02-13,REVENUE FOR A_003,288
2022-02-13,REVENUE FOR A_004,0
2022-02-13,REVENUE FOR A_005,0
2022-02-13,REVENUE FOR A_006,48
2022-02-13,REVENUE FOR A_007,288
2022-02-13,REVENUE FOR A_008,288
2022-02-13,REVENUE FOR A_009,288
2022-02-13,REVENUE FOR A_010,288
2022-02-13,REVENUE FOR A_011,288
2022-02-13,REVENUE FOR A_012,288
2022-02-13,REVENUE FOR A_013,288
2022-02-13,REVENUE FOR A_014,288
2022-02-13,REVENUE FOR A_015,288
2022-02-13,TECH_CALLS,0
2022-02-13,TECH_INSPECT,0
2022-02-13,TECH_REPAIR,0
2022-02-20,REVENUE FOR A_000,0
2022-02-20,REVENUE FOR A_001,41
2022-02-20,REVENUE FOR A_002,288
2022-02-20,REVENUE FOR A_003,288
2022-02-20,REVENUE FOR A_004,0
2022-02-20,REVENUE FOR A_005,0
2022-02-20,REVENUE FOR A_006,0
2022-02-20,REVENUE FOR A_007,214
2022-02-20,REVENUE FOR A_008,288
2022-02-20,REVENUE FOR A_009,288
2022-02-20,REVENUE FOR A_010,288
2022-02-20,REVENUE FOR A_011,288
2022-02-20,REVENUE FOR A_012,288
2022-02-20,REVENUE FOR A_013,288
2022-02-20,REVENUE FOR A_014,288
2022-02-20,REVENUE FOR A_015,31
2022-02-20,TECH_CALLS,0
2022-02-20,TECH_INSPECT,0
2022-02-20,TECH_REPAIR,0
2022-02-27,REVENUE FOR A_000,0
2022-02-27,REVENUE FOR A_001,0
2022-02-27,REVENUE FOR A_002,288
2022-02-27,REVENUE FOR A_003,288
2022-02-27,REVENUE FOR A_004,0
2022-02-27,REVENUE FOR A_005,0
2022-02-27,REVENUE FOR A_006,0
2022-02-27,REVENUE FOR A_007,0
2022-02-27,REVENUE FOR A_008,288
2022-02-27,REVENUE FOR A_009,288
2022-02-27,REVENUE FOR A_010,288
2022-02-27,REVENUE FOR A_011,288
2022-02-27,REVENUE FOR A_012,288
2022-02-27,REVENUE FOR A_013,288
2022-02-27,REVENUE FOR A_014,288
2022-02-27,REVENUE FOR A_015,0
2022-02-27,TECH_CALLS,0
2022-02-27,TECH_INSPECT,0
2022-02-27,TECH_REPAIR,0
2022-03-06,REVENUE FOR A_000,0
2022-03-06,REVENUE FOR A_001,0
2022-03-06,REVENUE FOR A_002,288
2022-03-06,REVENUE FOR A_003,288
2022-03-06,REVENUE FOR A_004,0
2022-03-06,REVENUE FOR A_005,0
2022-03-06,REVENUE FOR A_006,0
2022-03-06,REVENUE FOR A_007,0
2022-03-06,REVENUE FOR A_008,288
2022-03-06,REVENUE FOR A_009,171
2022-03-06,REVENUE FOR A_010,288
2022-03-06,REVENUE FOR A_011,288
2022-03-06,REVENUE FOR A_012,288
2022-03-06,REVENUE FOR A_013,288
2022-03-06,REVENUE FOR A_014,288
2022-03-06,REVENUE FOR A_015,0
2022-03-06,TECH_CALLS,0
2022-03-06,TECH_INSPECT,0
2022-03-06,TECH_REPAIR,0
2022-03-13,REVENUE FOR A_000,0
2022-03-13,REVENUE FOR A_001,0
2022-03-13,REVENUE FOR A_002,288
2022-03-13,REVENUE FOR A_003,227
2022-03-13,REVENUE FOR A_004,0
2022-03-13,REVENUE FOR A_005,0
2022-03-13,REVENUE FOR A_006,0
2022-03-13,REVENUE FOR A_007,0
2022-03-13,REVENUE FOR A_008,288
2022-03-13,REVENUE FOR A_009,0
2022-03-13,REVENUE FOR A_010,288
2022-03-13,REVENUE FOR A_011,288
2022-03-13,REVENUE FOR A_012,288
2022-03-13,REVENUE FOR A_013,288
2022-03-13,REVENUE FOR A_014,95
2022-03-13,REVENUE FOR A_015,0
2022-03-13,TECH_CALLS,0
2022-03-13,TECH_INSPECT,0
2022-03-13,TECH_REPAIR,0
2022-03-20,REVENUE FOR A_000,0
2022-03-20,REVENUE FOR A_001,0
2022-03-20,REVENUE FOR A_002,288
2022-03-20,REVENUE FOR A_003,0
2022-03-20,REVENUE FOR A_004,0
2022-03-20,REVENUE FOR A_005,0
2022-03-20,REVENUE FOR A_006,0
2022-03-20,REVENUE FOR A_007,0
2022-03-20,REVENUE FOR A_008,288
2022-03-20,REVENUE FOR A_009,0
2022-03-20,REVENUE FOR A_010,288
2022-03-20,REVENUE FOR A_011,288
2022-03-20,REVENUE FOR A_012,288
2022-03-20,REVENUE FOR A_013,288
2022-03-20,REVENUE FOR A_014,0
2022-03-20,REVENUE FOR A_015,0
2022-03-20,TECH_CALLS,0
2022-03-20,TECH_INSPECT,0
2022-03-20,TECH_REPAIR,0
2022-03-27,REVENUE FOR A_000,0
2022-03-27,REVENUE FOR A_001,0
2022-03-27,REVENUE FOR A_002,288
2022-03-27,REVENUE FOR A_003,0
2022-03-27,REVENUE FOR A_004,0
2022-03-27,REVENUE FOR A_005,0
2022-03-27,REVENUE FOR A_006,0
2022-03-27,REVENUE FOR A_007,0
2022-03-27,REVENUE FOR A_008,288
2022-03-27,REVENUE FOR A_009,0
2022-03-27,REVENUE FOR A_010,288
2022-03-27,REVENUE FOR A_011,288
2022-03-27,REVENUE FOR A_012,288
2022-03-27,REVENUE FOR A_013,288
2022-03-27,REVENUE FOR A_014,0
2022-03-27,REVENUE FOR A_015,0
2022-03-27,TECH_CALLS,0
2022-03-27,TECH_INSPECT,0
2022-03-27,TECH_REPAIR,0
2022-04-03,REVENUE FOR A_000,0
2022-04-03,REVENUE FOR A_001,0
2022-04-03,REVENUE FOR A_002,288
2022-04-03,REVENUE FOR A_003,0
2022-04-03,REVENUE FOR A_004,0
2022-04-03,REVENUE FOR A_005,0
2022-04-03,REVENUE FOR A_006,0
2022-04-03,REVENUE FOR A_007,0
2022-04-03,REVENUE FOR A_008,288
2022-04-03,REVENUE FOR A_009,0
2022-04-03,REVENUE FOR A_010,288
2022-04-03,REVENUE FOR A_011,288
2022-04-03,REVENUE FOR A_012,288
2022-04-03,REVENUE FOR A_013,288
2022-04-03,REVENUE FOR A_014,0
2022-04-03,REVENUE FOR A_015,0
2022-04-03,TECH_CALLS,0
2022-04-03,TECH_INSPECT,0
2022-04-03,TECH_REPAIR,0
2022-04-10,REVENUE FOR A_000,0
2022-04-10,REVENUE FOR A_001,0
2022-04-10,REVENUE FOR A_002,288
2022-04-10,REVENUE FOR A_003,0
2022-04-10,REVENUE FOR A_004,0
2022-04-10,REVENUE FOR A_005,0
2022-04-10,REVENUE FOR A_006,0
2022-04-10,REVENUE FOR A_007,0
2022-04-10,REVENUE FOR A_008,288
2022-04-10,REVENUE FOR A_009,0
2022-04-10,REVENUE FOR A_010,288
2022-04-10,REVENUE FOR A_011,288
2022-04-10,REVENUE FOR A_012,288
2022-04-10,REVENUE FOR A_013,288
2022-04-10,REVENUE FOR A_014,0
2022-04-10,REVENUE FOR A_015,0
2022-04-10,TECH_CALLS,0
2022-04-10,TECH_INSPECT,0
2022-04-10,TECH_REPAIR,0
2022-04-17,REVENUE FOR A_000,0
2022-04-17,REVENUE FOR A_001,0
2022-04-17,REVENUE FOR A_002,288
2022-04-17,REVENUE FOR A_003,0
2022-04-17,REVENUE FOR A_004,0
2022-04-17,REVENUE FOR A_005,0
2022-04-17,REVENUE FOR A_006,0
2022-04-17,REVENUE FOR A_007,0
2022-04-17,REVENUE FOR A_008,288
2022-04-17,REVENUE FOR A_009,0
2022-04-17,REVENUE FOR A_010,288
2022-04-17,REVENUE FOR A_011,288
2022-04-17,REVENUE FOR A_012,288
2022-04-17,REVENUE FOR A_013,288
2022-04-17,REVENUE FOR A_014,0
2022-04-17,REVENUE FOR A_015,0
2022-04-17,TECH_CALLS,0
2022-04-17,TECH_INSPECT,0
2022-04-17,TECH_REPAIR,0
2022-04-24,REVENUE FOR A_000,0
2022-04-24,REVENUE FOR A_001,0
2022-04-24,REVENUE FOR A_002,288
2022-04-24,REVENUE FOR A_003,0
2022-04-24,REVENUE FOR A_004,0
2022-04-24,REVENUE FOR A_005,0
2022-04-24,REVENUE FOR A_006,0
2022-04-24,REVENUE FOR A_007,0
2022-04-24,REVENUE FOR A_008,288
2022-04-24,REVENUE FOR A_009,0
2022-04-24,REVENUE FOR A_010,288
2022-04-24,REVENUE FOR A_011,288
2022-04-24,REVENUE FOR A_012,288
2022-04-24,REVENUE FOR A_013,288
2022-04-24,REVENUE FOR A_014,0
2022-04-24,REVENUE FOR A_015,0
2022-04-24,TECH_CALLS,0
2022-04-24,TECH_INSPECT,0
2022-04-24,TECH_REPAIR,0
2022-05-01,REVENUE FOR A_000,0
2022-05-01,REVENUE FOR A_001,0
2022-05-01,REVENUE FOR A_002,288
2022-05-01,REVENUE FOR A_003,0
2022-05-01,REVENUE FOR A_004,0
2022-05-01,REVENUE FOR A_005,0
2022-05-01,REVENUE FOR A_006,0
2022-05-01,REVENUE FOR A_007,0
2022-05-01,REVENUE FOR A_008,288
2022-05-01,REVENUE FOR A_009,0
2022-05-01,REVENUE FOR A_010,288
2022-05-01,REVENUE FOR A_011,288
2022-05-01,REVENUE FOR A_012,288
2022-05-01,REVENUE FOR A_013,288
2022-05-01,REVENUE FOR A_014,0
2022-05-01,REVENUE FOR A_015,0
2022-05-01,TECH_CALLS,0
2022-05-01,TECH_INSPECT,0
2022-05-01,TECH_REPAIR,0
2022-05-08,REVENUE FOR A_000,0
2022-05-08,REVENUE FOR A_001,0
2022-05-08,REVENUE FOR A_002,288
2022-05-08,REVENUE FOR A_003,0
2022-05-08,REVENUE FOR A_004,0
2022-05-08,REVENUE FOR A_005,0
2022-05-08,REVENUE FOR A_006,0
2022-05-08,REVENUE FOR A_007,0
2022-05-08,REVENUE FOR A_008,288
2022-05-08,REVENUE FOR A_009,0
2022-05-08,REVENUE FOR A_010,288
2022-05-08,REVENUE FOR A_011,288
2022-05-08,REVENUE FOR A_012,288
2022-05-08,REVENUE FOR A_013,288
2022-05-08,REVENUE FOR A_014,0
2022-05-08,REVENUE FOR A_015,0
2022-05-08,TECH_CALLS,0
2022-05-08,TECH_INSPECT,0
2022-05-08,TECH_REPAIR,0
2022-05-15,REVENUE FOR A_000,0
2022-05-15,REVENUE FOR A_001,0
2022-05-15,REVENUE FOR A_002,288
2022-05-15,REVENUE FOR A_003,0
2022-05-15,REVENUE FOR A_004,0
2022-05-15,REVENUE FOR A_005,0
2022-05-15,REVENUE FOR A_006,0
2022-05-15,REVENUE FOR A_007,0
2022-05-15,REVENUE FOR A_008,288
2022-05-15,REVENUE FOR A_009,0
2022-05-15,REVENUE FOR A_010,288
2022-05-15,REVENUE FOR A_011,288
2022-05-15,REVENUE FOR A_012,288
2022-05-15,REVENUE FOR A_013,288
2022-05-15,REVENUE FOR A_014,0
2022-05-15,REVENUE FOR A_015,0
2022-05-15,TECH_CALLS,0
2022-05-15,TECH_INSPECT,0
2022-05-15,TECH_REPAIR,0
2022-05-22,REVENUE FOR A_000,0
2022-05-22,REVENUE FOR A_001,0
2022-05-22,REVENUE FOR A_002,288
2022-05-22,REVENUE FOR A_003,0
2022-05-22,REVENUE FOR A_004,0
2022-05-22,REVENUE FOR A_005,0
2022-05-22,REVENUE FOR A_006,0
2022-05-22,REVENUE FOR A_007,0
2022-05-22,REVENUE FOR A_008,288
2022-05-22,REVENUE FOR A_009,0
2022-05-22,REVENUE FOR A_010,288
2022-05-22,REVENUE FOR A_011,288
2022-05-22,REVENUE FOR A_012,288
2022-05-22,REVENUE FOR A_013,288
2022-05-22,REVENUE FOR A_014,0
2022-05-22,REVENUE FOR A_015,0
2022-05-22,TECH_CALLS,0
2022-05-22,TECH_INSPECT,0
2022-05-22,TECH_REPAIR,0
