DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-03-29,19,7,14,7,17,17,0,84,10,1030,0.75,19,12,5,116,113,113,0,4,11.6,météo favorable,19:32:00,06:51:00,8
2021-03-30,20,9,16,9,18,20,0,78,10,1028,7,20,14,7,116,116,116,0,5,11.6,météo favorable,19:33:00,06:49:00,10
2021-03-31,21,10,16,10,19,19,0,87,10,1024,6.5,23,14,9,116,116,116,0,5,11.6,météo favorable,19:35:00,06:47:00,11
2021-04-01,21,11,19,11,20,19,0,81,10,1019,9.375,25,14,10,116,116,116,0,5,11.6,météo favorable,19:36:00,06:45:00,12
2021-04-02,16,10,29,10,15,13,0,90,10,1022,13.25,16,11,8,116,116,116,0,4,11.6,météo correcte,19:38:00,06:43:00,12
2021-04-03,13,3,30,3,10,11,0,80,10,1026,0.375,13,4,-2,113,113,113,0,3,11.6,météo correcte,19:39:00,06:41:00,5
2021-04-04,14,1,18,1,11,14,0,94,10,1026,0.75,14,8,-2,116,113,113,0,3,11.6,météo très défavorable,19:40:00,06:39:00,3
2021-04-05,12,3,24,3,12,7,0.1,84,10,1022,38.625,12,6,0,113,119,176,0,3,9.1,météo très défavorable,19:42:00,06:37:00,4
2021-04-06,8,-2,24,-2,6,6,0.1,79,10,1024,35.625,8,0,-6,113,116,176,0,2,9.1,météo très défavorable,19:43:00,06:35:00,-1
2021-04-07,10,-2,11,-2,8,9,0,95,9,1028,18.25,10,1,-6,116,116,116,0,3,11.6,météo très défavorable,19:45:00,06:33:00,-1
2021-04-08,13,-1,18,-1,10,12,0,76,10,1027,16,13,4,-5,116,116,116,0,3,11.6,météo très défavorable,19:46:00,06:31:00,0
2021-04-09,14,4,17,4,14,11,1,74,9,1018,60.25,14,8,2,116,116,122,0,3,7.8,météo correcte,19:47:00,06:29:00,5
2021-04-10,11,6,16,10,10,7,14.8,97,8.125,1012,96.375,11,10,6,266,302,353,0,2,6.6,météo défavorable,19:49:00,06:27:00,10
2021-04-11,7,4,26,5,6,6,0.6,92,10,1023,83.5,7,7,0,176,176,353,0,2,7.9,météo très défavorable,19:50:00,06:25:00,6
2021-04-12,11,1,14,1,10,10,0,91,10,1032,20.75,11,3,-2,116,116,119,0,3,10.4,météo très défavorable,19:51:00,06:23:00,1
2021-04-13,13,2,16,2,11,11,0,93,10,1033,28.5,13,4,-0,116,116,116,0,3,9.1,météo correcte,19:53:00,06:21:00,2
2021-04-14,12,0,28,0,10,10,0,74,10,1030,20.75,12,2,-4,116,116,116,0,3,11.6,météo très défavorable,19:54:00,06:20:00,1
2021-04-15,11,0,24,-0,9,10,0,81,10,1029,4.375,11,1,-5,113,113,116,0,3,11.6,météo très défavorable,19:56:00,06:18:00,1
2021-04-16,11,0,24,-0,10,9,0.1,93,10,1027,26.625,11,2,-5,116,116,116,0,3,10.4,météo très défavorable,19:57:00,06:16:00,0
2021-04-17,12,2,15,2,11,11,0,93,10,1027,42.375,12,5,-2,116,116,119,0,3,9.2,météo très défavorable,19:58:00,06:14:00,2
2021-04-18,14,3,8,3,13,13,0,91,10,1026,27,14,6,0,116,116,116,0,2,11.6,météo correcte,20:00:00,06:12:00,4
2021-04-19,15,5,9,5,14,13,0.1,80,10,1022,50.75,15,7,3,116,116,176,0,3,8.1,météo correcte,20:01:00,06:10:00,6
2021-04-20,15,9,14,9,13,14,0.1,67,10,1018,57.125,15,7,8,119,119,176,0,3,10.4,météo correcte,20:02:00,06:09:00,9
2021-04-21,17,5,20,5,15,15,0,91,10,1018,33.5,17,8,3,116,116,119,0,4,11.6,météo correcte,20:04:00,06:07:00,6
2021-04-22,17,7,27,7,15,15,0,90,10,1020,25.375,17,8,3,116,116,116,0,4,11.6,météo correcte,20:05:00,06:05:00,8
2021-04-23,17,7,30,7,15,16,0,66,10,1023,7.375,17,7,3,116,113,113,0,4,11.6,météo correcte,20:06:00,06:03:00,8
2021-04-24,21,8,18,8,18,19,0,79,10,1020,12,21,12,6,116,116,116,0,5,11.6,météo favorable,20:08:00,06:02:00,9
2021-04-25,18,9,28,9,17,17,0,77,10,1019,19.875,18,9,6,116,116,116,0,4,14.1,météo favorable,20:09:00,06:00:00,11
2021-04-26,17,8,33,8,15,16,0,59,10,1016,25,17,7,5,116,116,116,0,4,14.5,météo correcte,20:11:00,05:58:00,10
2021-04-27,17,5,19,5,15,15,0,83,10,1010,7.75,17,7,1,116,113,113,0,4,14.5,météo correcte,20:12:00,05:57:00,6
2021-04-28,14,5,16,5,14,12,0.2,85,10,1008,37.5,14,6,4,116,116,176,0,4,12.3,météo correcte,20:13:00,05:55:00,5
2021-04-29,14,4,15,4,13,13,0.1,95,7,1011,50.875,14,5,2,143,116,122,0,4,11.3,météo correcte,20:15:00,05:53:00,4
2021-04-30,13,7,13,7,11,12,0.9,77,9.875,1014,63.875,13,6,5,119,119,176,0,3,11.3,météo correcte,20:16:00,05:52:00,7
2021-05-01,15,4,15,5,13,13,0.5,95,7.875,1015,52,15,6,2,143,119,176,0,3,12.4,météo correcte,20:17:00,05:50:00,4
2021-05-02,14,3,12,3,13,12,0,92,8,1023,26.25,14,5,1,143,116,116,0,4,13.4,météo correcte,20:19:00,05:49:00,3
2021-05-03,14,6,23,7,14,12,0,85,10,1024,17.25,14,5,7,116,116,116,0,4,14.5,météo correcte,20:20:00,05:47:00,6
2021-05-04,12,6,33,12,11,10,2.9,91,7.75,1016,96.375,12,11,8,122,266,266,0,3,9.2,météo défavorable,20:21:00,05:46:00,11
2021-05-05,13,5,19,5,13,12,0.5,92,7.875,1017,31.25,13,7,2,143,116,116,0,3,14.5,météo correcte,20:23:00,05:44:00,6
2021-05-06,15,7,35,8,15,13,6.2,92,8.75,1014,79.625,15,10,5,266,353,176,0,4,9.3,météo défavorable,20:24:00,05:43:00,7
2021-05-07,16,9,10,9,14,14,0.4,95,7.375,1015,71,16,8,8,353,122,176,0,4,9.3,météo défavorable,20:25:00,05:41:00,9
2021-05-08,20,11,27,13,20,20,0.1,92,10,1016,46.375,20,13,12,122,116,116,0,4,13.5,météo favorable,20:27:00,05:40:00,12
2021-05-09,18,12,27,14,18,13,1.3,94,9.875,1003,51.625,18,14,13,353,116,116,0,5,13.5,météo favorable,20:28:00,05:38:00,13
2021-05-10,16,10,27,11,15,14,0.6,89,9.75,1008,38.875,16,9,8,116,353,116,0,3,14.5,météo correcte,20:29:00,05:37:00,10
2021-05-11,14,9,33,9,13,13,3.2,94,9.625,1015,67.125,14,8,7,296,176,353,0,4,10.4,météo défavorable,20:31:00,05:35:00,9
2021-05-12,14,7,19,8,14,14,2.1,91,9.875,1015,67.25,14,9,6,353,353,353,0,4,10.4,météo défavorable,20:32:00,05:34:00,7
2021-05-13,15,8,24,10,15,13,2.3,91,10,1013,63.375,15,8,7,353,353,176,0,3,11.4,météo correcte,20:33:00,05:33:00,9
2021-05-14,15,7,28,8,14,13,2.4,83,9.75,1014,55.125,15,9,6,116,176,353,0,4,10.4,météo correcte,20:34:00,05:32:00,7
2021-05-15,16,9,29,12,15,14,4.4,93,8.5,1009,66.375,16,10,10,263,176,116,0,3,12.5,météo défavorable,20:36:00,05:30:00,11
2021-05-16,16,10,39,11,16,13,0.7,92,10,1009,58.125,16,10,9,176,176,176,0,3,11.5,météo correcte,20:37:00,05:29:00,10
2021-05-17,15,10,38,10,15,13,2.5,91,9.75,1016,74,15,10,7,353,353,176,0,3,10.5,météo défavorable,20:38:00,05:28:00,10
2021-05-18,15,10,29,10,15,14,0.5,82,10,1024,55.875,15,9,8,176,353,116,0,4,11.5,météo correcte,20:39:00,05:27:00,10
2021-05-19,16,8,26,9,15,15,5.5,95,9.625,1027,60.5,16,8,7,353,176,353,0,3,10.5,météo correcte,20:41:00,05:26:00,8
2021-05-20,16,8,15,9,16,15,0,85,10,1027,35,16,7,8,119,116,116,0,4,14.5,météo correcte,20:42:00,05:25:00,8
2021-05-21,15,11,37,11,15,14,2.5,89,9.125,1016,47.25,15,11,9,263,176,116,0,3,13.5,météo correcte,20:43:00,05:23:00,11
2021-05-22,15,10,30,11,15,13,0.1,77,10,1016,46.875,15,7,8,116,176,116,0,4,12.5,météo correcte,20:44:00,05:22:00,10
2021-05-23,16,7,37,8,16,14,0.2,86,10,1017,50.5,16,8,7,119,176,176,0,4,13.5,météo correcte,20:45:00,05:21:00,7
2021-05-24,14,10,37,10,14,13,9.2,87,9.125,1018,68.875,14,9,7,176,176,176,0,3,10.5,météo défavorable,20:46:00,05:21:00,10
2021-05-25,16,8,28,10,16,12,0.8,83,9.875,1023,57.125,16,11,8,116,176,176,0,4,11.5,météo correcte,20:48:00,05:20:00,9
2021-05-26,17,12,27,13,16,16,0.6,90,9,1020,87.5,17,11,11,122,266,176,0,3,9.6,météo défavorable,20:49:00,05:19:00,12
2021-05-27,21,10,10,11,19,21,0,94,7.125,1021,59,23,12,11,248,122,116,0,4,12.5,météo correcte,20:50:00,05:18:00,10
2021-05-28,22,10,20,11,20,21,0,83,10,1022,22.5,23,11,9,116,116,116,0,5,14.5,météo favorable,20:51:00,05:17:00,10
2021-05-29,23,13,16,14,22,22,0,82,10,1025,20.875,25,12,13,116,116,116,0,5,14.5,météo favorable,20:52:00,05:16:00,13
2021-05-30,23,13,18,13,22,21,0,83,10,1024,37.625,24,11,12,116,116,119,0,5,14.5,météo favorable,20:53:00,05:16:00,13
2021-05-31,24,11,23,12,22,23,0,85,10,1020,10.875,25,10,10,116,116,116,0,5,14.5,météo favorable,20:54:00,05:15:00,11
2021-06-01,28,12,16,13,26,27,0,84,10,1015,13.5,28,15,12,116,113,116,0,6,14.5,météo favorable,20:55:00,05:14:00,12
2021-06-02,22,16,20,17,20,20,10,95,9.375,1016,60,23,17,17,293,176,116,0,4,11.6,météo correcte,20:55:00,05:14:00,17
2021-06-03,20,13,16,15,19,19,0.9,88,10,1024,61.875,20,13,15,176,353,119,0,5,10.6,météo correcte,20:56:00,05:13:00,13
2021-06-04,21,13,13,13,19,21,0.1,96,7.5,1024,92.125,21,15,13,248,122,119,0,4,9.7,météo défavorable,20:57:00,05:13:00,13
2021-06-05,24,10,12,12,21,24,0,78,10,1028,0.125,25,11,11,113,113,113,0,5,14.5,météo favorable,20:58:00,05:12:00,10
2021-06-06,24,11,12,12,22,21,0,73,10,1027,37.125,25,13,11,116,116,122,0,5,12.6,météo favorable,20:59:00,05:12:00,11
2021-06-07,25,15,14,16,24,23,0,66,10,1024,49.25,25,12,16,116,116,116,0,6,13.5,météo favorable,20:59:00,05:11:00,15
2021-06-08,26,13,11,14,25,24,0,89,9,1024,7.25,26,14,14,143,113,116,0,6,15.9,météo favorable,21:00:00,05:11:00,13
2021-06-09,26,14,14,16,24,24,0,86,10,1022,12.25,26,14,16,116,116,116,0,6,15.9,météo favorable,21:01:00,05:11:00,14
2021-06-10,29,15,9,16,27,26,0,86,10,1023,26.125,29,15,16,116,116,116,0,6,15.9,météo favorable,21:02:00,05:10:00,15
2021-06-11,27,15,13,17,27,26,0,84,10,1021,36.875,27,15,17,116,116,119,0,6,15.9,météo favorable,21:02:00,05:10:00,15
2021-06-12,28,15,14,16,26,27,0,87,9,1023,6.875,28,14,15,143,116,116,0,6,15.9,météo favorable,21:03:00,05:10:00,15
2021-06-13,29,16,22,17,26,28,0,82,10,1024,2.625,28,14,17,116,116,116,0,6,15.9,météo favorable,21:03:00,05:10:00,16
2021-06-14,32,15,13,16,28,31,0,80,10,1021,14.75,31,14,16,116,116,116,0,7,15.9,météo favorable,21:04:00,05:10:00,15
2021-06-15,33,16,12,18,30,32,0,81,10,1021,6.25,32,15,18,116,113,116,0,7,15.9,météo idéale,21:04:00,05:10:00,16
2021-06-16,32,18,18,20,31,30,0.8,75,9.875,1015,26.25,32,17,20,116,116,116,0,7,15.6,météo favorable,21:05:00,05:10:00,18
2021-06-17,26,19,20,19,26,25,2.4,94,9,1010,74.75,27,18,19,143,119,119,0,6,12.9,météo défavorable,21:05:00,05:10:00,19
2021-06-18,20,14,21,14,18,18,32.3,97,8.625,1016,82.5,21,15,12,308,296,176,0,4,13.8,météo très défavorable,21:05:00,05:10:00,14
2021-06-19,26,15,15,16,26,20,19.1,87,8.375,1016,58.75,27,17,16,116,116,299,0,6,14.7,météo très défavorable,21:06:00,05:10:00,15
2021-06-20,20,15,13,15,20,16,6.7,92,7.25,1008,76.75,20,16,16,353,116,356,0,4,12,météo défavorable,21:06:00,05:10:00,15
2021-06-21,20,15,19,16,20,20,5.5,87,9.875,1008,81.125,20,14,16,353,176,353,0,5,12,météo défavorable,21:06:00,05:10:00,15
2021-06-22,19,14,21,14,18,18,0.1,92,10,1018,73.5,19,14,14,116,119,176,0,4,12.9,météo défavorable,21:06:00,05:11:00,14
2021-06-23,15,13,21,13,15,14,0.2,88,10,1022,98.125,15,12,11,176,122,122,0,3,12,météo défavorable,21:06:00,05:11:00,13
2021-06-24,19,11,15,12,17,19,0,86,9,1022,71.25,19,11,11,143,119,119,0,4,12.9,météo défavorable,21:06:00,05:11:00,11
2021-06-25,22,11,12,13,22,21,0,86,10,1024,32.75,25,12,14,116,116,116,0,4,16,météo favorable,21:07:00,05:12:00,12
2021-06-26,21,15,15,15,20,19,1.9,87,8,1018,76.25,22,14,15,119,266,353,0,4,12.9,météo défavorable,21:07:00,05:12:00,15
2021-06-27,18,11,10,12,18,17,2.6,90,8.375,1015,72.75,18,12,12,143,122,176,0,4,12.9,météo défavorable,21:06:00,05:12:00,11
