DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,MONTH,DAY
2020-01-13,12,10,33,9,12,11,6.2,95,7.625,1026,81.75,12,10,7,176,296,176,0,1,3.3,bad,01,13
2020-01-14,12,11,38,11,12,11,23.2,88,7.75,1011,98.75,12,10,8,296,296,302,0,1,3.3,very bad,01,14
2020-01-15,12,10,36,11,12,10,3.1,87,8.25,1021,64.0,12,9,9,116,266,116,0,1,5.1,bad,01,15
2020-01-16,12,8,35,8,11,11,1.3,85,10.0,1022,30.375,12,9,4,116,116,116,0,1,8.7,bad,01,16
2020-01-17,10,7,25,9,9,7,11.3,85,8.125,1027,74.375,11,10,4,266,176,176,0,1,3.4,bad,01,17
2020-01-18,9,6,16,6,8,7,0.1,86,10.0,1029,39.5,9,5,4,116,116,176,0,1,6.9,bad,01,18
2020-01-19,7,2,25,1,5,5,0.0,86,10.0,1043,11.875,7,3,-3,116,116,116,0,1,8.7,very bad,01,19
2020-01-20,7,2,28,1,5,5,0.0,85,10.0,1044,3.625,7,1,-4,116,113,116,0,1,8.7,very bad,01,20
2020-01-21,5,0,21,0,3,3,0.0,90,10.0,1042,19.0,5,0,-5,116,116,116,0,1,8.7,very bad,01,21
2020-01-22,7,0,25,0,4,5,0.0,79,10.0,1036,5.875,7,1,-5,116,116,116,0,1,8.7,very bad,01,22
2020-01-23,5,1,21,1,4,5,0.0,71,10.0,1029,53.0,5,0,-4,116,116,122,0,1,5.2,very bad,01,23
2020-01-24,11,5,12,4,9,10,0.2,86,10.0,1022,87.125,11,8,2,122,122,116,0,1,5.2,very bad,01,24
2020-01-25,11,6,18,6,10,9,0.0,94,10.0,1020,39.875,11,8,3,116,116,116,0,1,8.7,bad,01,25
2020-01-26,11,7,22,6,10,10,1.0,92,7.375,1017,67.625,11,8,5,143,116,353,0,1,5.2,bad,01,26
2020-01-27,10,9,29,10,10,9,24.4,91,7.625,1014,93.0,10,9,6,302,353,389,0,1,4.8,very bad,01,27
2020-01-28,8,7,28,7,8,8,3.6,86,8.875,1013,91.875,8,6,3,176,353,353,0,1,4.8,very bad,01,28
2020-01-29,12,8,16,8,11,9,2.0,93,8.75,1018,57.375,12,8,6,296,116,116,0,1,9.7,bad,01,29
2020-01-30,13,10,31,12,13,10,10.2,96,8.5,1014,99.875,13,12,9,296,296,296,0,1,4.8,bad,01,30
2020-01-31,13,11,25,12,12,13,0.2,95,9.625,1017,96.875,13,12,10,122,122,122,0,1,4.9,bad,01,31
2020-02-01,13,12,26,12,12,12,26.2,94,8.25,1018,87.375,13,12,9,308,116,353,0,1,6.6,very bad,02,01
2020-02-02,14,13,35,14,14,13,18.4,94,5.75,1020,100.0,14,13,10,302,266,296,0,1,4.9,very bad,02,02
2020-02-03,14,13,32,13,14,13,0.2,95,10.0,1023,87.75,14,12,10,176,122,116,0,1,6.6,bad,02,03
2020-02-04,10,7,25,5,9,7,0.2,82,9.875,1034,33.5,10,8,3,113,116,176,0,1,9.8,bad,02,04
2020-02-05,10,5,12,3,8,7,0.0,91,10.0,1037,21.375,10,6,3,116,116,116,0,1,9.9,very bad,02,05
2020-02-06,9,2,25,1,6,6,0.0,80,10.0,1032,4.875,9,2,-2,116,113,113,0,1,9.9,very bad,02,06
2020-02-07,13,4,16,3,10,10,0.0,95,10.0,1023,42.125,13,10,1,116,119,119,0,1,8.3,not good not bad,02,07
2020-02-08,11,9,13,9,11,9,4.6,93,9.5,1023,80.125,11,8,7,176,296,176,0,1,5.0,bad,02,08
2020-02-09,12,10,50,9,11,10,1.4,89,8.25,1023,71.25,13,12,7,116,122,266,0,1,5.0,bad,02,09
2020-02-10,12,9,43,9,11,11,0.8,78,9.625,1018,84.5,12,11,6,353,122,353,0,1,5.0,bad,02,10
2020-02-11,9,7,27,9,9,7,0.5,82,10.0,1024,74.0,9,6,4,119,176,353,0,1,6.7,bad,02,11
2020-02-12,10,7,18,5,10,8,0.7,84,9.875,1024,66.25,10,5,5,176,116,176,0,1,8.3,bad,02,12
2020-02-13,11,10,42,11,10,10,3.9,84,8.875,1016,88.25,11,10,6,266,293,176,0,1,5.1,bad,02,13
2020-02-14,12,8,21,7,11,10,0.0,90,10.0,1024,50.125,12,9,6,116,116,119,0,1,8.3,bad,02,14
2020-02-15,14,11,31,10,13,13,0.0,91,10.0,1023,62.5,14,9,8,119,119,119,0,1,10.0,not good not bad,02,15
2020-02-16,15,13,50,14,15,13,4.3,86,8.75,1016,90.0,15,10,12,176,122,122,0,1,5.1,bad,02,16
2020-02-17,10,8,31,9,10,8,6.0,82,9.375,1027,75.5,10,7,5,176,176,176,0,1,6.7,bad,02,17
2020-02-18,11,8,23,6,11,9,1.7,84,9.875,1030,61.5,11,6,6,116,353,176,0,1,5.1,bad,02,18
2020-02-19,11,9,22,8,11,9,1.1,90,10.0,1029,78.25,11,8,7,176,353,353,0,1,5.2,bad,02,19
2020-02-20,11,9,31,9,10,9,0.8,85,9.75,1027,74.125,11,8,6,119,176,122,0,1,5.2,bad,02,20
2020-02-21,10,5,15,3,9,8,0.0,80,10.0,1033,14.125,10,5,3,116,116,116,0,1,10.4,very bad,02,21
2020-02-22,13,9,23,6,12,11,0.0,89,10.0,1032,39.75,13,9,6,113,116,119,0,1,10.0,not good not bad,02,22
2020-02-23,13,12,27,12,12,12,0.0,92,10.0,1032,96.5,13,11,9,122,122,122,0,1,5.4,bad,02,23
2020-02-24,12,11,31,11,11,11,0.1,88,10.0,1030,89.375,12,11,8,119,122,122,0,1,5.4,bad,02,24
2020-02-25,11,8,32,9,9,8,6.8,87,8.125,1016,79.625,11,10,4,302,353,353,0,1,7.0,bad,02,25
2020-02-26,8,4,28,3,7,6,1.4,77,9.875,1018,58.25,8,3,0,317,116,176,0,1,10.1,very bad,02,26
2020-02-27,12,9,40,11,12,9,10.9,90,8.625,1017,74.625,12,10,6,302,263,176,0,1,7.0,bad,02,27
2020-02-28,11,9,26,6,11,11,4.6,94,8.875,1019,85.875,11,10,5,122,176,296,0,1,5.5,bad,02,28
2020-02-29,10,7,35,10,9,7,20.7,89,8.625,1005,58.125,10,8,3,116,308,353,0,1,7.0,very bad,02,29
2020-03-01,9,7,32,7,7,8,31.9,95,8.625,1003,71.875,9,7,3,353,308,176,0,2,7.0,very bad,03,01
2020-03-02,9,6,33,8,9,6,18.1,87,8.625,1005,76.375,9,8,2,302,119,353,0,2,7.1,very bad,03,02
2020-03-03,8,6,12,5,7,6,5.3,91,9.5,1014,69.75,8,5,4,116,296,353,0,2,7.1,very bad,03,03
2020-03-04,12,7,23,6,9,11,2.3,95,5.375,1016,87.625,12,10,3,143,266,353,0,2,5.6,bad,03,04
2020-03-05,12,8,44,12,11,8,24.8,91,8.25,1004,90.75,12,12,4,302,302,353,0,3,5.6,very bad,03,05
2020-03-06,8,6,30,5,6,7,7.9,93,9.125,1016,72.25,8,5,2,119,302,353,0,3,5.6,very bad,03,06
2020-03-07,12,6,18,3,10,10,0.2,87,10.0,1023,46.75,12,8,5,116,122,353,0,3,7.3,bad,03,07
2020-03-08,12,10,35,9,12,10,2.7,91,8.75,1021,69.25,12,9,7,116,266,176,0,4,7.3,bad,03,08
2020-03-09,11,8,23,5,10,10,1.4,81,9.875,1023,69.0,11,8,5,116,122,353,0,2,5.9,bad,03,09
2020-03-10,12,11,27,11,12,12,4.4,94,9.5,1021,99.375,12,11,9,296,122,176,0,3,5.9,bad,03,10
2020-03-11,15,12,30,12,15,12,0.4,89,10.0,1021,79.875,15,12,10,122,176,353,0,3,5.9,bad,03,11
2020-03-12,11,9,25,10,11,9,0.6,88,10.0,1023,62.0,11,10,6,176,353,176,0,3,8.8,bad,03,12
2020-03-13,11,7,12,5,10,9,0.1,76,10.0,1025,43.375,11,5,7,116,116,176,0,3,8.8,bad,03,13
2020-03-14,12,10,20,9,12,10,1.1,86,9.875,1022,81.875,12,8,8,122,176,176,0,3,7.4,bad,03,14
2020-03-15,13,9,20,6,12,11,0.1,91,9.375,1018,58.375,13,9,6,119,116,119,0,3,10.2,not good not bad,03,15
2020-03-16,11,8,19,7,9,10,1.0,92,5.0,1025,84.375,11,8,5,176,266,119,0,2,6.0,bad,03,16
2020-03-17,14,8,11,6,12,14,0.4,91,8.625,1030,65.625,14,11,6,119,122,176,0,3,6.0,bad,03,17
2020-03-18,16,11,8,7,15,14,0.1,91,7.875,1030,58.25,16,11,10,143,116,122,0,3,10.2,not good not bad,03,18
2020-03-19,19,12,12,9,17,17,10.6,89,7.125,1025,39.875,19,14,11,143,116,356,0,5,7.4,not good not bad,03,19
2020-03-20,18,11,15,9,15,16,0.0,77,10.0,1019,24.75,18,12,10,116,116,122,0,4,10.2,good,03,20
2020-03-21,15,9,24,7,13,14,0.0,89,10.0,1018,42.375,15,11,6,116,116,116,0,4,10.2,not good not bad,03,21
2020-03-22,10,7,23,4,9,9,0.0,82,10.0,1017,68.75,10,6,3,116,119,122,0,3,7.5,bad,03,22
2020-03-23,16,7,18,5,12,14,0.4,82,9.875,1021,28.5,16,11,4,116,116,116,0,3,11.6,not good not bad,03,23
2020-03-24,13,6,15,4,11,11,0.0,82,10.0,1023,1.5,13,7,3,116,113,113,0,3,11.6,not good not bad,03,24
2020-03-25,11,4,19,1,9,10,0.0,73,10.0,1022,1.75,11,5,0,113,113,113,0,3,11.6,very bad,03,25
2020-03-26,10,4,24,0,8,8,0.0,69,10.0,1019,5.75,10,3,0,116,113,116,0,3,11.6,very bad,03,26
2020-03-27,12,5,14,1,10,10,0.0,73,10.0,1019,30.375,12,5,2,116,116,116,0,3,11.6,very bad,03,27
2020-03-28,13,7,13,3,12,12,0.3,82,7.375,1022,48.5,13,9,5,143,116,116,0,2,10.3,not good not bad,03,28
2020-03-29,9,6,38,5,8,7,0.6,67,8.0,1030,45.0,9,7,0,119,116,119,0,2,11.6,bad,03,29
2020-03-30,8,2,39,-1,6,6,0.0,57,10.0,1031,7.25,8,0,-4,116,113,113,0,2,11.6,very bad,03,30
2020-03-31,11,5,35,2,9,10,0.0,70,10.0,1024,0.0,11,4,0,113,113,113,0,3,11.6,very bad,03,31
2020-04-01,12,5,23,2,10,10,0.0,80,10.0,1021,0.0,12,5,1,113,113,113,0,3,11.6,very bad,04,01
2020-04-02,10,4,18,0,9,9,0.0,79,10.0,1019,12.125,10,4,0,113,113,116,0,3,11.6,very bad,04,02
2020-04-03,14,7,10,3,12,12,0.0,89,8.0,1020,39.625,14,8,6,143,116,116,0,2,11.6,not good not bad,04,03
2020-04-04,15,9,21,5,13,15,0.0,88,10.0,1020,0.375,15,11,6,116,116,113,0,4,11.6,not good not bad,04,04
2020-04-05,17,11,32,8,16,15,0.0,78,10.0,1016,12.375,17,11,8,113,113,116,0,4,11.6,not good not bad,04,05
2020-04-06,17,12,10,11,16,15,0.5,82,8.0,1025,55.875,17,11,11,266,116,116,0,4,10.3,not good not bad,04,06
2020-04-07,18,12,13,12,15,17,4.7,96,9.5,1026,75.625,18,13,10,122,296,353,0,4,6.6,bad,04,07
2020-04-08,19,14,9,12,17,18,0.4,89,9.875,1024,57.875,19,14,14,119,116,176,0,5,9.1,not good not bad,04,08
2020-04-09,21,15,13,11,19,21,0.1,84,10.0,1024,31.5,23,16,15,116,116,116,0,5,10.3,good,04,09
2020-04-10,22,15,14,11,20,21,0.0,76,10.0,1021,3.125,24,14,15,116,116,116,0,5,11.6,good,04,10
2020-04-11,22,15,11,12,20,21,0.0,77,10.0,1022,4.125,23,13,15,116,116,116,0,5,11.6,good,04,11
2020-04-12,20,13,12,12,20,17,10.0,92,8.5,1021,54.75,20,14,12,176,116,356,0,5,9.1,not good not bad,04,12
2020-04-13,18,12,30,12,16,16,11.2,92,7.5,1018,76.25,18,14,10,302,263,353,0,4,6.7,bad,04,13
2020-04-14,14,7,31,6,11,12,0.0,68,10.0,1022,2.75,14,6,3,116,113,116,0,3,11.6,not good not bad,04,14
2020-04-15,18,9,24,5,14,18,0.0,83,10.0,1020,10.375,18,14,5,116,116,116,0,4,11.6,good,04,15
2020-04-16,19,15,24,11,18,18,0.0,82,9.875,1016,36.75,19,13,14,116,116,116,0,4,11.6,good,04,16
2020-04-17,19,13,17,11,18,17,14.1,91,8.0,1014,73.625,19,14,12,299,116,176,0,4,6.7,bad,04,17
2020-04-18,20,13,9,11,19,17,0.9,87,8.375,1017,35.0,20,13,13,116,116,176,0,4,12.2,good,04,18
2020-04-19,17,13,18,11,17,14,16.5,95,6.25,1016,59.875,17,14,12,143,116,356,0,4,11.0,very bad,04,19
2020-04-20,17,12,15,11,14,16,15.5,95,6.5,1011,97.875,17,14,10,296,266,353,0,3,8.7,bad,04,20
2020-04-21,19,13,17,13,17,18,3.9,91,8.75,1010,57.625,19,14,12,119,116,119,0,4,12.2,not good not bad,04,21
2020-04-22,20,16,9,12,19,20,0.4,85,8.0,1016,43.25,21,16,16,116,116,176,0,5,11.1,good,04,22
2020-04-23,19,14,13,14,19,17,2.7,92,8.875,1018,55.5,19,15,13,116,119,176,0,5,9.9,not good not bad,04,23
2020-04-24,19,15,10,11,19,18,0.4,91,6.5,1018,44.625,19,15,14,143,116,176,0,4,12.2,good,04,24
2020-04-25,20,15,13,11,19,19,2.9,91,8.625,1013,58.5,20,16,15,143,116,176,0,5,11.1,not good not bad,04,25
2020-04-26,20,15,9,11,19,18,10.4,91,9.125,1011,56.875,20,16,14,116,116,356,0,4,11.2,not good not bad,04,26
2020-04-27,15,7,14,12,15,10,7.2,94,9.0,1010,81.375,15,12,7,116,353,296,0,3,9.1,bad,04,27
2020-04-28,15,12,29,11,15,14,1.4,88,8.5,1009,70.125,15,10,10,353,353,176,0,3,11.3,bad,04,28
2020-04-29,14,8,28,10,13,12,6.3,93,9.375,1010,89.375,14,11,7,122,296,353,0,3,9.1,bad,04,29
2020-04-30,14,10,42,9,14,12,8.3,84,9.0,1007,76.875,14,8,8,176,356,353,0,3,10.2,bad,04,30
2020-05-01,13,11,24,10,13,13,0.7,90,10.0,1011,85.25,13,11,9,176,353,353,0,3,9.2,bad,05,01
2020-05-02,15,12,17,12,14,14,9.3,98,8.25,1015,99.5,15,14,11,296,266,296,0,3,9.2,bad,05,02
2020-05-03,18,14,18,14,17,17,1.3,96,9.125,1018,88.25,18,15,14,353,176,176,0,4,10.3,bad,05,03
2020-05-04,21,16,24,12,20,20,3.3,92,6.5,1018,41.5,24,17,16,143,116,116,0,4,13.4,good,05,04
2020-05-05,18,14,22,14,18,17,14.1,88,9.125,1018,42.375,18,16,14,176,116,116,0,4,14.5,bad,05,05
2020-05-06,20,15,13,11,19,19,0.4,88,9.0,1022,38.375,20,15,15,116,116,176,0,5,13.5,good,05,06
2020-05-07,20,15,15,12,18,19,0.0,85,10.0,1022,12.125,20,14,14,116,116,116,0,5,14.5,good,05,07
2020-05-08,21,17,14,13,21,18,3.1,94,9.75,1018,55.625,23,17,17,116,116,296,0,5,11.4,not good not bad,05,08
2020-05-09,22,17,12,14,21,21,2.9,89,6.5,1012,65.5,25,17,17,143,119,386,0,4,10.4,bad,05,09
2020-05-10,21,17,21,15,20,20,3.9,90,9.875,1006,81.25,21,17,17,353,176,353,0,4,10.4,bad,05,10
2020-05-11,15,8,37,9,10,11,1.4,88,9.875,1016,68.0,15,13,3,122,296,116,0,2,12.4,bad,05,11
2020-05-12,13,8,27,6,12,12,0.0,76,10.0,1018,28.5,13,7,5,116,116,116,0,4,12.5,not good not bad,05,12
2020-05-13,14,9,29,7,12,13,0.0,82,10.0,1013,45.875,14,8,5,116,122,119,0,3,11.4,not good not bad,05,13
2020-05-14,14,8,34,5,13,13,0.0,72,10.0,1014,19.5,14,8,5,116,116,116,0,4,14.5,not good not bad,05,14
2020-05-15,15,9,27,5,13,15,0.0,82,10.0,1022,3.125,15,9,6,116,113,113,0,4,14.5,not good not bad,05,15
2020-05-16,17,11,22,7,15,17,0.0,84,10.0,1024,5.375,17,12,8,116,116,116,0,4,14.5,not good not bad,05,16
2020-05-17,20,13,16,8,18,20,0.0,85,9.0,1024,8.25,20,14,12,143,116,116,0,5,14.5,good,05,17
2020-05-18,21,13,10,9,19,20,0.0,83,10.0,1027,7.75,23,14,13,116,116,116,0,5,14.5,good,05,18
2020-05-19,22,15,13,11,19,21,0.0,79,10.0,1026,7.25,23,13,15,113,116,113,0,5,14.5,good,05,19
2020-05-20,25,18,10,12,23,25,0.0,82,10.0,1023,10.25,26,19,18,116,116,116,0,6,14.5,good,05,20
2020-05-21,26,19,9,16,23,26,0.0,76,10.0,1021,28.875,28,19,19,116,116,116,0,6,14.5,good,05,21
2020-05-22,20,14,20,16,20,17,0.1,85,10.0,1025,59.375,20,16,13,116,122,176,0,5,11.5,not good not bad,05,22
2020-05-23,18,13,23,13,17,16,0.1,84,10.0,1033,23.0,18,10,12,116,176,116,0,5,14.5,good,05,23
2020-05-24,20,14,13,10,18,19,0.0,83,10.0,1035,6.0,20,12,14,116,113,113,0,5,14.5,good,05,24
2020-05-25,22,15,22,11,20,21,0.0,85,10.0,1033,3.25,23,15,14,116,113,116,0,5,14.5,good,05,25
2020-05-26,23,18,24,14,21,22,0.0,74,10.0,1033,2.125,25,15,17,116,113,113,0,5,14.5,good,05,26
2020-05-27,24,18,25,14,22,22,0.0,77,10.0,1032,2.625,25,15,18,116,116,113,0,6,14.5,good,05,27
2020-05-28,24,18,23,15,22,23,0.0,81,10.0,1030,3.5,25,16,18,116,116,113,0,6,14.5,good,05,28
2020-05-29,23,18,25,14,22,21,0.0,71,10.0,1024,1.5,25,13,17,116,113,113,0,5,14.5,good,05,29
2020-05-30,23,17,22,13,22,22,0.0,72,10.0,1020,0.625,25,14,17,113,113,113,0,5,14.5,good,05,30
2020-05-31,23,17,28,13,22,21,0.0,69,10.0,1017,3.375,25,13,17,116,116,113,0,5,14.5,good,05,31
2020-06-01,24,17,21,13,22,23,0.0,78,10.0,1017,0.5,25,15,17,113,116,113,0,6,14.5,good,06,01
2020-06-02,27,20,15,15,25,25,0.0,78,9.0,1018,14.375,27,16,20,143,116,116,0,6,14.5,good,06,02
2020-06-03,22,17,15,13,21,20,0.5,82,8.875,1013,26.625,25,14,17,116,116,116,0,5,14.5,good,06,03
2020-06-04,17,13,24,12,17,16,1.2,79,8.875,1007,56.375,17,12,11,353,116,353,0,4,13.5,not good not bad,06,04
2020-06-05,17,15,27,14,17,16,0.6,78,10.0,1008,84.875,17,12,14,176,353,176,0,4,9.7,bad,06,05
2020-06-06,16,11,22,13,16,15,0.3,71,10.0,1010,52.625,16,12,10,176,116,176,0,3,13.5,not good not bad,06,06
2020-06-07,18,13,20,10,17,17,2.3,85,9.875,1013,51.0,18,11,13,116,353,353,0,5,10.8,not good not bad,06,07
2020-06-08,19,14,14,10,18,18,5.4,87,8.5,1017,69.125,19,13,13,143,116,353,0,4,11.8,bad,06,08
2020-06-09,19,13,15,9,17,17,0.8,86,8.75,1020,64.0,19,12,13,143,119,176,0,4,11.8,not good not bad,06,09
2020-06-10,15,12,5,12,15,14,1.3,91,9.875,1020,68.25,15,11,13,116,119,293,0,3,10.9,bad,06,10
2020-06-11,13,9,35,12,12,12,53.3,94,7.25,1012,80.125,14,12,9,119,308,308,0,4,10.0,very bad,06,11
2020-06-12,17,13,31,11,17,15,4.3,86,9.0,1003,80.875,17,11,11,143,116,353,0,4,10.0,bad,06,12
2020-06-13,18,15,29,12,18,17,18.2,88,8.0,1012,80.5,18,14,14,266,299,353,0,4,10.0,very bad,06,13
2020-06-14,19,15,28,14,19,17,11.2,90,8.0,1016,65.5,19,15,15,143,353,353,0,4,10.9,bad,06,14
2020-06-15,19,15,26,14,18,18,9.7,92,8.0,1018,81.0,19,15,14,266,353,353,0,4,10.0,bad,06,15
2020-06-16,18,14,21,14,18,17,16.2,88,8.375,1018,72.75,18,14,14,353,353,356,0,4,10.0,very bad,06,16
2020-06-17,18,14,22,12,18,17,6.8,90,7.25,1013,60.0,18,13,14,143,176,356,0,4,11.8,not good not bad,06,17
2020-06-18,19,14,26,13,18,17,7.4,88,9.25,1015,72.875,19,13,14,176,353,176,0,4,10.9,bad,06,18
2020-06-19,19,14,19,14,18,17,1.0,85,9.0,1021,56.625,19,13,14,353,353,116,0,5,12.7,not good not bad,06,19
2020-06-20,20,15,22,13,20,19,0.8,89,9.25,1022,58.0,20,14,15,116,122,176,0,5,11.8,not good not bad,06,20
2020-06-21,20,14,23,16,19,18,1.6,92,6.625,1025,61.125,20,17,14,119,266,176,0,4,11.8,not good not bad,06,21
2020-06-22,25,17,10,13,21,25,0.0,73,9.0,1027,25.875,26,17,17,119,116,113,0,6,14.5,good,06,22
2020-06-23,25,18,19,15,23,25,0.0,79,10.0,1024,19.125,26,18,18,113,122,113,0,6,13.6,not good not bad,06,23
2020-06-24,32,23,12,18,29,31,0.0,76,10.0,1018,1.75,34,22,23,116,116,113,0,7,14.5,good,06,24
2020-06-25,28,20,13,22,28,24,0.7,82,9.75,1015,36.375,29,20,20,116,116,176,0,7,11.8,good,06,25
2020-06-26,20,16,19,18,19,19,0.5,88,8.625,1013,89.0,20,17,16,248,176,176,0,4,10.0,bad,06,26
2020-06-27,21,15,31,17,20,19,0.9,89,9.0,1015,75.625,22,16,15,119,266,116,0,4,12.7,bad,06,27
2020-06-28,18,16,18,15,18,18,1.7,91,10.0,1017,87.25,18,15,16,353,353,122,0,4,10.0,bad,06,28
2020-06-29,19,14,22,12,17,17,0.1,82,10.0,1019,47.5,19,11,13,113,119,116,0,4,11.8,not good not bad,06,29
2020-06-30,21,17,22,16,20,20,0.7,92,7.375,1017,91.375,23,17,17,122,266,353,0,4,10.0,bad,06,30
2020-07-01,20,18,23,18,20,19,1.4,93,8.625,1013,80.75,20,17,18,122,353,176,0,4,10.9,bad,07,01
2020-07-02,20,14,24,14,19,18,0.6,90,7.875,1019,60.125,20,13,14,143,353,176,0,4,11.8,not good not bad,07,02
2020-07-03,20,13,19,13,19,18,0.1,89,8.0,1023,33.875,20,12,13,143,176,116,0,5,12.7,good,07,03
2020-07-04,18,15,24,15,17,16,0.7,89,8.0,1023,80.0,18,17,15,116,122,266,0,5,9.9,bad,07,04
2020-07-05,21,18,23,18,20,20,0.2,91,10.0,1021,86.125,21,17,18,122,176,122,0,4,10.8,bad,07,05
2020-07-06,20,11,16,11,19,19,0.0,89,9.0,1025,27.0,20,11,9,143,119,116,0,5,14.5,not good not bad,07,06
2020-07-07,22,11,9,11,21,20,0.0,90,9.0,1025,19.625,24,12,10,143,116,116,0,5,14.5,good,07,07
2020-07-08,26,14,10,14,24,25,0.0,80,10.0,1021,10.875,27,17,14,116,116,116,0,6,14.5,good,07,08
2020-07-09,25,18,19,18,25,22,0.0,92,9.0,1019,18.125,26,17,18,143,116,113,0,6,14.5,good,07,09
2020-07-10,22,17,15,17,20,20,0.2,83,10.0,1021,58.625,23,15,17,119,116,116,0,4,13.6,not good not bad,07,10
2020-07-11,22,11,18,11,20,22,0.0,83,10.0,1026,28.625,24,11,10,113,113,122,0,5,12.6,good,07,11
2020-07-12,23,12,21,12,21,22,0.0,75,10.0,1025,8.5,25,11,10,113,116,116,0,5,14.5,good,07,12
2020-07-13,25,13,13,13,23,25,0.0,84,10.0,1025,6.875,26,13,11,116,116,116,0,6,14.5,good,07,13
2020-07-14,21,14,17,14,19,20,2.2,82,8.875,1022,53.125,23,16,13,116,176,353,0,5,10.6,good,07,14
2020-07-15,20,13,15,13,19,20,0.1,85,10.0,1021,76.875,20,13,12,119,119,119,0,4,9.6,bad,07,15
2020-07-16,21,13,12,13,20,21,0.0,91,9.0,1023,70.0,25,15,13,143,119,122,0,4,9.6,bad,07,16
2020-07-17,27,14,10,14,23,27,0.0,93,8.0,1023,16.75,28,17,13,143,116,113,0,5,14.5,good,07,17
2020-07-18,30,13,10,13,26,29,0.0,91,9.0,1022,2.375,29,15,13,143,116,113,0,6,14.5,good,07,18
2020-07-19,29,16,10,16,27,28,0.0,81,10.0,1018,6.25,29,14,16,113,116,116,0,6,14.5,good,07,19
2020-07-20,27,15,17,15,25,26,0.0,89,10.0,1019,18.75,27,15,14,116,116,116,0,6,14.5,good,07,20
2020-07-21,26,15,24,15,24,25,0.0,69,10.0,1021,22.375,27,13,14,116,116,116,0,6,14.5,good,07,21
2020-07-22,28,14,18,14,25,26,0.0,70,10.0,1022,15.5,27,11,13,116,116,116,0,6,13.5,good,07,22
2020-07-23,28,15,9,15,26,26,0.0,67,10.0,1020,20.75,27,12,15,116,116,116,0,6,14.5,good,07,23
2020-07-24,24,14,18,14,23,22,0.0,85,10.0,1017,24.75,25,16,14,116,116,116,0,6,14.5,good,07,24
2020-07-25,23,16,26,16,22,21,1.3,96,6.75,1017,71.75,25,16,16,248,176,353,0,6,10.5,bad,07,25
2020-07-26,23,15,17,15,21,21,0.1,95,8.75,1017,44.75,25,17,15,248,119,116,0,5,13.5,not good not bad,07,26
2020-07-27,25,15,31,15,24,23,0.2,88,10.0,1017,31.375,26,18,15,116,116,122,0,6,12.5,good,07,27
2020-07-28,23,14,16,14,21,22,0.1,89,7.625,1021,33.5,25,16,13,143,116,113,0,4,14.5,good,07,28
